study.thisRepN,study.thisTrialN,study.thisN,study.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,thisRow.t,notes,Instructions_study.started,Instructions_study.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,study word,study_text.started,slider.started,slider.response,slider.rt,instructions_test.started,instructions_test.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,test_phase.started,test word,reference,word condition,test_text.started,response.started,submit.started,test_phase.stopped,correct,response.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
9,0,9,0,,,,,28.199361,,,,,,,pastry,28.199361,28.199361,5,1.064958125,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
10,0,10,0,,,,,29.28113192,,,,,,,case,29.28113192,29.28113192,5,1.000094792,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
11,0,11,0,,,,,30.298821,,,,,,,cruise,30.298821,30.298821,5,0.666270875,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
12,0,12,0,,,,,30.98235579,,,,,,,police,30.98235579,30.98235579,5,0.933522,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
13,0,13,0,,,,,31.93093663,,,,,,,keys,31.93093663,31.93093663,5,0.9008915,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
14,0,14,0,,,,,32.84965575,,,,,,,poster,32.84965575,32.84965575,5,1.869777125,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
15,0,15,0,,,,,34.73429712,,,,,,,arsenal,34.73429712,34.73429712,5,1.198436125,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
16,0,16,0,,,,,35.94928308,,,,,,,tennis,35.94928308,35.94928308,5,0.616307166,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
17,0,17,0,,,,,36.58294296,,,,,,,danger,36.58294296,36.58294296,5,0.5997095,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,,,,,,,,,,,,,,,,,37.18369558,63.99093404,space,26.798358,None,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,0,0,0,0,64.01605275,,,,,,,,,,,,,,,,,63.99215317,l_pt_p,laptop,old,64.01605275,64.01605275,64.01605275,73.99862746,TRUE, laptop,[],[],[],[],[],[],[],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,1,0,1,0,74.01221488,,,,,,,,,,,,,,,,,74.000031,c_a_t,chart,old,74.01221488,74.01221488,74.01221488,83.99908558,FALSE,"
c",[],[],[],[],[],[],[],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,2,0,2,0,84.01136075,,,,,,,,,,,,,,,,,83.999972,t_hi_t,tshirt,old,84.01136075,84.01136075,84.01136075,92.92510763,TRUE,"tshirt
",[0.034444444444444444],[-0.2922222222222222],[1],[0],[0],[8.922974875000364],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,3,0,3,0,92.93682212,,,,,,,,,,,,,,,,,92.92607763,_o_se,mouse,old,92.93682212,92.93682212,92.93682212,102.9331989,FALSE,,[],[],[],[],[],[],[],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,4,0,4,0,102.9447162,,,,,,,,,,,,,,,,,102.934019,p_st_y,pastry,old,102.9447162,102.9447162,102.9447162,108.8751464,TRUE,"pastry
",[0.023333333333333334],[-0.3022222222222222],[1],[0],[0],[5.939044250000734],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,5,0,5,0,108.8866632,,,,,,,,,,,,,,,,,108.8760686,c_ui_e,cruise,old,108.8866632,108.8866632,108.8866632,114.1910511,TRUE,"cruise
",[0.011111111111111112],[-0.31222222222222223],[1],[0],[0],[5.31279537500086],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,6,0,6,0,114.2031467,,,,,,,,,,,,,,,,,114.1918985,p_li_e,police,old,114.2031467,114.2031467,114.2031467,117.7084633,TRUE,police,[-0.0022222222222222222],[-0.3188888888888889],[1],[0],[0],[3.5145012920038425],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,7,0,7,0,117.7198523,,,,,,,,,,,,,,,,,117.7093795,k_y_,keys,old,117.7198523,117.7198523,117.7198523,123.9082753,TRUE,keys,[-0.0022222222222222222],[-0.3188888888888889],[1],[0],[0],[6.196920834001503],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,8,0,8,0,123.9197439,,,,,,,,,,,,,,,,,123.9091903,bo_r_,board,old,123.9197439,123.9197439,123.9197439,133.917045,FALSE,,[],[],[],[],[],[],[],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,9,0,9,0,133.9289418,,,,,,,,,,,,,,,,,133.9178628,_l_,old,old,133.9289418,133.9289418,133.9289418,143.9167934,FALSE,flh,[],[],[],[],[],[],[],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,10,0,10,0,143.9279965,,,,,,,,,,,,,,,,,143.9176843,m_rbl_,marble,old,143.9279965,143.9279965,143.9279965,148.6588329,TRUE,marble,[0.0077777777777777776],[-0.31666666666666665],[1],[0],[0],[4.738982542003214],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,11,0,11,0,148.6704685,,,,,,,,,,,,,,,,,148.6596872,p_on_,phone,old,148.6704685,148.6704685,148.6704685,157.842548,TRUE,phone,[0.006666666666666667],[-0.3111111111111111],[1],[0],[0],[9.180809208999563],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,12,0,12,0,157.8540755,,,,,,,,,,,,,,,,,157.8435028,_oo_,book,old,157.8540755,157.8540755,157.8540755,163.4428837,TRUE,book,[0.0077777777777777776],[-0.30444444444444446],[1],[0],[0],[5.5973560830025235],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,13,0,13,0,163.454349,,,,,,,,,,,,,,,,,163.4438048,_en,pen,new,163.454349,163.454349,163.454349,166.9592706,TRUE,pen,[-0.03],[-0.30444444444444446],[1],[0],[0],[3.513554999997723],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,14,0,14,0,166.9707756,,,,,,,,,,,,,,,,,166.9601928,c_s_io_,cushion,old,166.9707756,166.9707756,166.9707756,176.9602423,FALSE,,[],[],[],[],[],[],[],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,15,0,15,0,176.9709985,,,,,,,,,,,,,,,,,176.9610626,ta_l_,table,new,176.9709985,176.9709985,176.9709985,180.3259285,FALSE,talk,[-0.03],[-0.30444444444444446],[1],[0],[0],[3.3627893749944633],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,16,0,16,0,180.3377376,,,,,,,,,,,,,,,,,180.3267803,p_nc_l,pencil,new,180.3377376,180.3377376,180.3377376,190.3342814,FALSE,penci,[],[],[],[],[],[],[],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,17,0,17,0,190.3472592,,,,,,,,,,,,,,,,,190.3351976,no_el,novel,new,190.3472592,190.3472592,190.3472592,200.3345577,FALSE,nobel,[],[],[],[],[],[],[],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,18,0,18,0,200.3470864,,,,,,,,,,,,,,,,,200.3354677,v_s_,vase,new,200.3470864,200.3470864,200.3470864,200.435865,FALSE,,[-0.013333333333333334],[-0.30666666666666664],[1],[0],[0],[0.0976000840018969],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,19,0,19,0,200.4513237,,,,,,,,,,,,,,,,,200.4367784,b_tt_e,bottle,new,200.4513237,200.4513237,200.4513237,205.1602902,TRUE,bottle,[-0.014444444444444444],[-0.30333333333333334],[1],[0],[0],[4.7213285000034375],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,20,0,20,0,205.1721363,,,,,,,,,,,,,,,,,205.1612135,c_m_ra,camera,new,205.1721363,205.1721363,205.1721363,209.3599852,TRUE,camera,[-0.014444444444444444],[-0.30333333333333334],[1],[0],[0],[4.196632999999565],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,21,0,21,0,209.3716658,,,,,,,,,,,,,,,,,209.3608385,a_sen_l,arsenal,old,209.3716658,209.3716658,209.3716658,213.6101078,TRUE,arsenal,[-0.014444444444444444],[-0.30333333333333334],[1],[0],[0],[4.247125624999171],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,22,0,22,0,213.6215548,,,,,,,,,,,,,,,,,213.6109498,te_n_s,tennis,old,213.6215548,213.6215548,213.6215548,221.3772374,TRUE,tennis,[-0.014444444444444444],[-0.30333333333333334],[1],[0],[0],[7.764205791994755],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
,,,,23,0,23,0,221.3886594,,,,,,,,,,,,,,,,,221.3780924,da_ge_,danger,old,221.3886594,221.3886594,221.3886594,225.5442253,TRUE,danger,[-0.014444444444444444],[-0.30333333333333334],[1],[0],[0],[4.1640764999974635],['submit'],kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
